,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,78.75,91,20,4.61,thunderstorm
1,Ushuaia,AR,-54.8,-68.3,40.66,75,40,23.02,scattered clouds
2,Conde,BR,-7.2597,-34.9075,76.46,83,0,11.5,clear sky
3,Cape Town,ZA,-33.9258,18.4232,55.11,73,40,8.05,scattered clouds
4,Gacko,BA,43.1672,18.5353,47.46,95,77,5.53,broken clouds
5,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,22,12.93,light rain
6,Gamba,GA,-2.65,10.0,74.75,83,100,6.67,overcast clouds
7,Busselton,AU,-33.65,115.3333,53.46,83,96,2.68,overcast clouds
8,Bjornevatn,NO,69.6672,29.9847,44.94,93,75,13.8,broken clouds
9,Zhob,PK,31.3411,69.4481,73.83,51,0,1.52,clear sky
10,Hithadhoo,MV,-0.6,73.0833,81.32,73,11,4.65,few clouds
11,Japura,ID,-0.3167,102.35,72.39,98,99,2.62,overcast clouds
12,Barrow,US,71.2906,-156.7887,36.79,90,92,20.04,overcast clouds
13,Sharlyk,RU,52.9167,54.75,58.48,94,99,10.27,overcast clouds
14,Sistranda,NO,63.7256,8.834,49.96,88,100,15.77,light rain
15,Norman Wells,CA,65.282,-126.8329,62.64,31,20,6.91,few clouds
16,Svetlogorsk,BY,52.6333,29.7333,47.61,93,83,5.91,broken clouds
17,Kapaa,US,22.0752,-159.319,84.18,70,82,4.0,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,74.61,91,100,6.78,overcast clouds
19,Kutum,SD,14.2,24.6667,72.88,67,13,5.23,few clouds
20,Derzhavinsk,KZ,51.1,66.3167,52.86,30,7,8.61,clear sky
21,Faya,SA,18.3851,42.4509,64.92,44,98,4.61,overcast clouds
22,Cap Malheureux,MU,-19.9842,57.6142,71.47,71,0,5.99,light rain
23,Rikitea,PF,-23.1203,-134.9692,72.41,77,0,20.36,clear sky
24,Tautira,PF,-17.7333,-149.15,76.35,81,54,20.22,light rain
25,Khatanga,RU,71.9667,102.5,24.48,90,20,3.24,few clouds
26,Vila,PT,42.0304,-8.1588,65.28,80,100,4.03,overcast clouds
27,Kodiak,US,57.79,-152.4072,57.06,62,70,2.08,broken clouds
28,Russell,US,32.3502,-85.1999,85.01,43,46,2.15,scattered clouds
29,Kilrush,IE,52.6397,-9.4833,47.95,77,4,0.94,clear sky
30,Albany,US,42.6001,-73.9662,71.89,69,41,3.69,scattered clouds
31,Hermanus,ZA,-34.4187,19.2345,52.81,73,100,5.01,overcast clouds
32,Avarua,CK,-21.2078,-159.775,78.85,73,0,17.27,clear sky
33,Haines Junction,CA,60.7522,-137.5108,57.15,41,81,2.3,broken clouds
34,Castro,BR,-24.7911,-50.0119,51.12,79,0,9.55,clear sky
35,Krasnoselkup,RU,65.7,82.4667,44.11,81,100,12.37,overcast clouds
36,East London,ZA,-33.0153,27.9116,64.24,86,100,3.11,overcast clouds
37,Butaritari,KI,3.0707,172.7902,82.9,67,96,9.24,overcast clouds
38,Mataura,NZ,-46.1927,168.8643,46.47,60,97,5.12,overcast clouds
39,Kiruna,SE,67.8557,20.2251,41.92,93,100,8.05,overcast clouds
40,Upernavik,GL,72.7868,-56.1549,36.39,72,88,20.78,overcast clouds
41,Hobart,AU,-42.8794,147.3294,49.05,83,75,9.22,moderate rain
42,Sarangani,PH,5.4033,125.4636,83.08,72,72,5.91,broken clouds
43,Otane,NZ,-39.8833,176.6333,56.01,65,1,1.81,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,44.71,53,0,23.02,clear sky
45,Qaanaaq,GL,77.484,-69.3632,27.55,63,0,6.96,clear sky
46,Coihaique,CL,-45.5752,-72.0662,49.95,37,40,6.91,scattered clouds
47,Clyde River,CA,70.4692,-68.5914,34.03,93,100,13.8,fog
48,Lowestoft,GB,52.4752,1.7516,51.42,83,77,11.83,broken clouds
49,Vaini,TO,-21.2,-175.2,77.16,78,75,13.8,broken clouds
50,Esperance,AU,-33.8667,121.9,52.25,88,21,7.07,few clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,92.17,77,12,9.91,few clouds
52,Kavieng,PG,-2.5744,150.7967,83.01,67,79,6.85,broken clouds
53,Olinda,BR,-8.0089,-34.8553,78.53,69,40,10.36,scattered clouds
54,Wad Madani,SD,14.4012,33.5199,79.36,67,100,13.13,overcast clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,71.56,85,37,3.0,scattered clouds
56,Jamestown,US,42.097,-79.2353,78.03,51,20,9.22,few clouds
57,Codajas,BR,-3.8367,-62.0569,83.64,61,100,1.92,overcast clouds
58,Bethel,US,41.3712,-73.414,72.64,68,52,1.01,broken clouds
59,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,38,12.93,light rain
60,Chumikan,RU,54.7183,135.315,49.91,81,100,20.94,overcast clouds
61,Bluff,NZ,-46.6,168.3333,46.8,68,100,8.95,overcast clouds
62,Juba,SS,4.8517,31.5825,70.16,87,43,2.35,scattered clouds
63,Ostrovnoy,RU,68.0531,39.5131,47.91,97,100,7.18,overcast clouds
64,Codrington,AU,-38.2667,141.9667,50.59,83,100,17.22,overcast clouds
65,Olafsvik,IS,64.8945,-23.7142,48.36,79,47,7.78,scattered clouds
66,Taua,BR,-5.9667,-40.3,86.92,31,60,10.65,broken clouds
67,Yurga,RU,55.7231,84.8861,39.72,82,0,4.79,clear sky
68,Torbay,CA,47.6666,-52.7314,56.26,86,75,17.27,light rain
69,Namibe,AO,-15.1961,12.1522,66.11,87,72,9.01,broken clouds
70,Kenai,US,60.5544,-151.2583,57.15,79,0,25.93,clear sky
71,Coruripe,BR,-10.1256,-36.1756,72.18,78,9,7.09,clear sky
72,Kasese,UG,0.1833,30.0833,67.59,91,63,3.22,broken clouds
73,Tasiilaq,GL,65.6145,-37.6368,35.15,95,100,16.44,light snow
74,Surgut,RU,61.25,73.4167,50.18,66,0,4.47,clear sky
75,Coquimbo,CL,-29.9533,-71.3436,58.12,70,19,5.17,few clouds
76,Bichura,RU,50.5881,107.6022,36.41,80,33,4.59,scattered clouds
