City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,78.75,thunderstorm,5.4112,100.3354,Cititel Penang
2,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
5,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
9,Zhob,PK,73.83,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
10,Hithadhoo,MV,81.32,few clouds,-0.6,73.0833,Scoop Guest House
11,Japura,ID,72.39,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
17,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Ribeira Grande,PT,74.61,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
19,Kutum,SD,72.88,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
22,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
23,Rikitea,PF,72.41,clear sky,-23.1203,-134.9692,People ThankYou
24,Tautira,PF,76.35,light rain,-17.7333,-149.15,Pension Oaoa
26,Vila,PT,65.28,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
32,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
37,Butaritari,KI,82.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Sarangani,PH,83.08,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
49,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Kavieng,PG,83.01,broken clouds,-2.5744,150.7967,Nusa Island Retreat
53,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
54,Wad Madani,SD,79.36,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
55,Puerto Ayora,EC,71.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Jamestown,US,78.03,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Codajas,BR,83.64,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
58,Bethel,US,72.64,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
59,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
62,Juba,SS,70.16,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
69,Namibe,AO,66.11,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
71,Coruripe,BR,72.18,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
72,Kasese,UG,67.59,broken clouds,0.1833,30.0833,Sandton Hotel Kasese
80,Wadena,US,77.04,broken clouds,46.4425,-95.1361,Eastwood Inn of Wadena
82,Ibi,ES,70.32,broken clouds,38.6253,-0.5723,Hotel Plata
85,Fort Nelson,CA,65.79,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
86,Sambava,MG,67.06,light rain,-14.2667,50.1667,Melrose
88,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
92,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
96,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
102,Sao Joao Da Barra,BR,65.59,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
