City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-09-10 14:11:38,77.484,-69.3632,35.55,67,77,6.93
1,Sangar,RU,2022-09-10 14:11:39,63.9242,127.4739,34.57,86,81,3.27
2,Atuona,PF,2022-09-10 14:11:39,-9.8,-139.0333,75.67,78,35,21.43
3,Saint George,US,2022-09-10 14:11:40,37.1041,-113.5841,79.39,62,40,9.22
4,Bluff,NZ,2022-09-10 14:11:40,-46.6,168.3333,42.96,89,8,5.7
5,Karratha,AU,2022-09-10 14:11:41,-20.7377,116.8463,72.95,47,0,14.05
6,Stromness,GB,2022-09-10 14:11:41,58.965,-3.296,59.88,77,23,5.01
7,Lala,PH,2022-09-10 14:11:42,7.9745,123.7458,75.67,91,18,0.6
8,Punta Arenas,CL,2022-09-10 14:08:31,-53.15,-70.9167,46.51,66,0,16.11
9,Haines Junction,CA,2022-09-10 14:11:43,60.7522,-137.5108,37.35,81,97,1.14
10,Bengkulu,ID,2022-09-10 14:11:43,-3.8004,102.2655,76.73,83,99,3.56
11,Victor Harbor,AU,2022-09-10 14:11:44,-35.5667,138.6167,48.0,79,36,6.04
12,Avarua,CK,2022-09-10 14:11:44,-21.2078,-159.775,75.25,88,40,12.66
13,Leningradskiy,RU,2022-09-10 14:11:45,69.3833,178.4167,35.6,87,20,10.16
14,Hualmay,PE,2022-09-10 14:11:45,-11.0964,-77.6139,61.32,79,81,6.44
15,Saint-Philippe,RE,2022-09-10 14:11:46,-21.3585,55.7679,74.79,71,49,12.1
16,Mataura,NZ,2022-09-10 14:11:46,-46.1927,168.8643,37.63,99,14,2.66
17,Whyalla,AU,2022-09-10 14:07:33,-33.0333,137.5833,52.75,74,98,7.31
18,Kapaa,US,2022-09-10 14:11:47,22.0752,-159.319,79.12,87,75,12.66
19,Hermanus,ZA,2022-09-10 14:11:48,-34.4187,19.2345,59.81,71,100,15.52
20,Mehamn,NO,2022-09-10 14:11:49,71.0357,27.8492,48.15,87,75,16.11
21,Bilma,NE,2022-09-10 14:11:49,18.6853,12.9164,101.44,11,98,10.0
22,Iqaluit,CA,2022-09-10 14:11:50,63.7506,-68.5145,47.93,87,40,9.22
23,Nueva Loja,EC,2022-09-10 14:11:50,0.0847,-76.8828,80.62,74,0,2.3
24,Mount Isa,AU,2022-09-10 14:11:51,-20.7333,139.5,73.17,21,0,6.91
25,Gunjur,GM,2022-09-10 14:11:51,13.2019,-16.7339,82.99,77,61,10.49
26,Itoman,JP,2022-09-10 14:11:52,26.1247,127.6694,84.22,82,75,10.36
27,Lompoc,US,2022-09-10 14:11:52,34.6391,-120.4579,72.52,85,100,9.22
28,Port Hedland,AU,2022-09-10 14:11:53,-20.3167,118.5667,68.05,83,0,8.05
29,Edgewater,US,2022-09-10 14:11:53,28.9889,-80.9023,84.04,100,40,0.0
30,Kaitangata,NZ,2022-09-10 14:11:54,-46.2817,169.8464,40.48,95,15,2.59
31,Clyde River,CA,2022-09-10 14:11:54,70.4692,-68.5914,37.63,100,100,0.0
32,Lakes Entrance,AU,2022-09-10 14:11:55,-37.8811,147.981,48.16,62,52,19.57
33,Port Lincoln,AU,2022-09-10 14:11:55,-34.7333,135.8667,50.7,74,0,2.95
34,New Norfolk,AU,2022-09-10 14:11:56,-42.7826,147.0587,49.5,76,97,4.0
35,Kadoma,JP,2022-09-10 14:11:56,34.7333,135.5833,80.58,67,73,2.71
36,Quatre Cocos,MU,2022-09-10 14:11:57,-20.2078,57.7625,73.51,63,34,14.65
37,Sitka,US,2022-09-10 14:11:57,57.0531,-135.33,48.09,93,75,0.0
38,Port Alfred,ZA,2022-09-10 14:11:58,-33.5906,26.891,68.18,85,47,1.01
39,Longyearbyen,SJ,2022-09-10 14:11:58,78.2186,15.6401,37.24,70,75,10.36
40,La Ronge,CA,2022-09-10 14:11:59,55.1001,-105.2842,46.65,87,40,6.91
41,Price,US,2022-09-10 14:11:59,39.5994,-110.8107,58.26,35,0,0.0
42,Castro,BR,2022-09-10 14:12:00,-24.7911,-50.0119,70.77,71,87,1.9
43,Dingle,PH,2022-09-10 14:12:01,10.9995,122.6711,76.19,88,74,3.78
44,Lorengau,PG,2022-09-10 14:13:02,-2.0226,147.2712,81.41,78,62,6.46
